Nom,asin,status,mustHave,priority,audience,age min,age max,tags,Pays
"Lunettes de soleil mixtes - Protection UV400, Polarisées",B0DPHJS7X4,candidate,FALSE,2,mixte,0,120,"lunettes,soleil,mixtes,protection,polarisées,genericbrand,sports,loisirs,accessoires,uv400,protection-solaire",ISLANDE
Sous vêtements Thermiques hommes,B0CG5RFS3Z,candidate,FALSE,3,homme,0,120,"sous,vêtements,thermiques,hommes,thermotech,sport,outdoor,thermique,isolation",ISLANDE
Sous vêtements thermiques femme,B0CJ91TWD8,candidate,FALSE,3,homme,0,120,"sous,vêtements,thermiques,femme,thermotech,sport,outdoor,thermique,isolation",ISLANDE
Masque anti vents,B0DK8DTY7H,candidate,FALSE,3,all,0,120,"masque,anti,vents,genericbrand,sports,loisirs,accessoires",ISLANDE
Pantalons thermiques homme,B0D3H82ZMT,candidate,FALSE,3,homme,0,120,"pantalons,thermiques,homme,thermotech,vêtements,sport,outdoor,thermique,isolation",ISLANDE
Pantalons thermiques femme,B0FL24GVRB,candidate,FALSE,3,homme,0,120,"pantalons,thermiques,femme,thermotech,vêtements,sport,outdoor,thermique,isolation",ISLANDE
Polaire homme,B0FHLPNQ73,candidate,FALSE,3,homme,0,120,"polaire,homme,warmgear,vêtements,sport,outdoor,chaud",ISLANDE
Polaire femme,B0FBTGSTRW,candidate,FALSE,3,homme,0,120,"polaire,femme,warmgear,vêtements,sport,outdoor,chaud",ISLANDE
"Crampons pour chaussures - Antidérapantes, Respirantes",B0CLD22MTY,candidate,FALSE,3,all,0,120,"crampons,chaussures,antidérapantes,respirantes,genericbrand,sacs,sport",ISLANDE
Doudoune homme prix 1,B00GBISFQ6,candidate,FALSE,3,homme,0,120,"doudoune,homme,genericbrand,vêtements,sport,outdoor",ISLANDE
Doudoune homme prix 2,B0DXC8MY81,candidate,FALSE,3,homme,0,120,"doudoune,homme,genericbrand,vêtements,sport,outdoor",ISLANDE
Doudoune homme prix 3,B08BR9HCFG,candidate,FALSE,3,homme,0,120,"doudoune,homme,genericbrand,vêtements,sport,outdoor",ISLANDE
"sac a dos Waterproof bas de gamme - Résistant à l'eau, Léger",B0C1JT8RQS,candidate,FALSE,3,all,0,120,"sac,dos,waterproof,résistant,eau,léger,outdoorpro,bagages,sacs,randonnée,étanche,imperméable",ISLANDE
"Sac a dos Waterproof moyenne gamme - Résistant à l'eau, Léger",B0CVKZ5BDR,candidate,FALSE,3,all,0,120,"sac,dos,waterproof,résistant,eau,léger,outdoorpro,bagages,sacs,randonnée,étanche,imperméable",ISLANDE
"Sac a dos Waterproof haute gamme - Résistant à l'eau, Léger",B09ZYPY3GB,candidate,FALSE,3,all,0,120,"sac,dos,waterproof,résistant,eau,léger,outdoorpro,bagages,sacs,randonnée,étanche,imperméable",ISLANDE
Bonnet en laine doublé,B09M9P8NMJ,candidate,FALSE,3,all,0,120,"bonnet,laine,doublé,genericbrand,sports,loisirs,accessoires",ISLANDE
"Gants imperméable - Tactiles, Résistants",B099K49RB1,candidate,FALSE,3,unspecified,0,120,"gants,imperméable,tactiles,résistants,genericbrand,sports,loisirs,accessoires",ISLANDE
Tour de cou polaire,B08J7FJC54,candidate,FALSE,3,homme,0,120,"tour,cou,polaire,warmgear,vêtements,sport,outdoor,chaud",ISLANDE
Chaussettes en laine,B0DHKHC1T7,candidate,FALSE,3,all,0,120,"chaussettes,laine,genericbrand,sports,loisirs,accessoires",ISLANDE
"Chaussures de randonnée craponnables prix 1 - Antidérapantes, Respirantes",B07G5YFS1L,candidate,FALSE,3,all,0,120,"chaussures,randonnée,craponnables,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor",ISLANDE
