asin,Nom,status,mustHave,priority,audience,age min,age max,tags,Pays,_nom_norm,_tokens
B006DUPURO,Baume à lèvres hydratant,candidate,FALSE,3,all,0,120,"baume,lèvres,hydratant,genericbrand,sports,loisirs,accessoires,soin,peau","BRESIL, MAROC, STATES, THAILANDE",baume a levres hydratant,"{'hydratant', 'baume', 'a', 'levres'}"
B00GBISFQ6,Doudoune homme prix 1,candidate,FALSE,3,homme,0,120,"doudoune,homme,genericbrand,vêtements,sport,outdoor",ISLANDE,doudoune homme prix 1,"{'prix', '1', 'homme', 'doudoune'}"
B01MY09LEL,Gourdes isothermes,candidate,FALSE,3,all,0,120,"gourdes,isothermes,genericbrand,sports,loisirs,accessoires,isotherme,température","BRESIL, MAROC, STATES, THAILANDE",gourdes isothermes,"{'isothermes', 'gourdes'}"
B06VXVRR8R,"chaussures randonnée prix 3 - Antidérapantes, Respirantes femme",candidate,FALSE,3,femme,0,120,"chaussures,randonnée,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor","BRESIL, MAROC, STATES, THAILANDE",chaussures randonnee prix 3 antiderapantes respirantes femme,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', 'femme', '3', 'randonnee'}"
B06XJ9MY96,serviette microfibre,candidate,FALSE,3,all,0,120,"serviette,microfibre,genericbrand,sports,loisirs,accessoires,absorption","BRESIL, MAROC, STATES, THAILANDE",serviette microfibre,"{'serviette', 'microfibre'}"
B079NLHSV8,t-shirts (coton / technique respirant) homme,candidate,FALSE,3,homme,0,120,"shirts,coton,technique,respirant,homme,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",thailande t shirts coton technique respirant homme,"{'t', 'coton', 'respirant', 'technique', 'thailande', 'homme', 'shirts'}"
B07FNJP2GB,coupe vent légers mixte,candidate,FALSE,3,mixte,0,120,"coupe,vent,légers,mixte,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",coupe vent legers mixte,"{'mixte', 'vent', 'coupe', 'legers'}"
B07G5YFS1L,"Chaussures de randonnée craponnables prix 1 - Antidérapantes, Respirantes",candidate,FALSE,3,all,0,120,"chaussures,randonnée,craponnables,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor","BRESIL, ISLANDE, MAROC, STATES, THAILANDE",chaussures de randonnee craponnables prix 1 antiderapantes respirantes,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', 'randonnee', 'craponnables', '1', 'de'}"
B07T9P5Q23,"Sac a dos randonnée - Résistant à l'eau, Léger",candidate,FALSE,3,all,0,120,"sac,dos,randonnée,résistant,eau,léger,genericbrand,bagages,sacs,trekking,outdoor","BRESIL, MAROC, STATES, THAILANDE",sac a dos randonnee resistant a l eau leger,"{'randonnee', 'a', 'resistant', 'leger', 'sac', 'l', 'eau', 'dos'}"
B07TXZ841G,t-shirts (coton / technique respirant) femme,candidate,FALSE,3,femme,0,120,"shirts,coton,technique,respirant,femme,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",t shirts coton technique respirant femme,"{'femme', 't', 'coton', 'respirant', 'technique', 'shirts'}"
B088RTJXHS,Spray anti-moustique,candidate,FALSE,3,all,0,120,"spray,anti,moustique,genericbrand,sports,loisirs,accessoires,anti-moustique,répulsif,insectes","BRESIL, MAROC, STATES, THAILANDE",spray anti moustique,"{'spray', 'anti', 'moustique'}"
B08BR9HCFG,Doudoune homme prix 3,candidate,FALSE,3,homme,0,120,"doudoune,homme,genericbrand,vêtements,sport,outdoor",ISLANDE,doudoune homme prix 3,"{'3', 'prix', 'homme', 'doudoune'}"
B08BTD7RFV,Crème solaire SPF 50+,candidate,FALSE,3,all,0,120,"crème,solaire,spf,genericbrand,sports,loisirs,accessoires,protection-solaire,soleil,protection","BRESIL, MAROC, STATES, THAILANDE",creme solaire spf 50,"{'creme', 'solaire', '50', 'spf'}"
B08J7FJC54,Tour de cou polaire,candidate,FALSE,3,homme,0,120,"tour,cou,polaire,warmgear,vêtements,sport,outdoor,chaud",ISLANDE,tour de cou polaire,"{'polaire', 'cou', 'de', 'tour'}"
B099K49RB1,"Gants imperméable - Tactiles, Résistants",candidate,FALSE,3,unspecified,0,120,"gants,imperméable,tactiles,résistants,genericbrand,sports,loisirs,accessoires",ISLANDE,gants impermeable tactiles resistants,"{'gants', 'impermeable', 'tactiles', 'resistants'}"
B09M9P8NMJ,Bonnet en laine doublé,candidate,FALSE,3,all,0,120,"bonnet,laine,doublé,genericbrand,sports,loisirs,accessoires",ISLANDE,bonnet en laine double,"{'bonnet', 'laine', 'en', 'double'}"
B09ZYPY3GB,"Sac a dos Waterproof haute gamme - Résistant à l'eau, Léger",candidate,FALSE,3,all,0,120,"sac,dos,waterproof,résistant,eau,léger,outdoorpro,bagages,sacs,randonnée,étanche,imperméable",ISLANDE,sac a dos waterproof haute gamme resistant a l eau leger,"{'gamme', 'a', 'resistant', 'leger', 'haute', 'waterproof', 'sac', 'eau', 'dos', 'l'}"
B0B2DRC76L,Adaptateur de prise universel,candidate,FALSE,3,all,0,120,"adaptateur,prise,universel,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",adaptateur de prise universel,"{'prise', 'de', 'adaptateur', 'universel'}"
B0BDYN7ZQH,Claquettes enfant,candidate,FALSE,3,enfant,3,17,"claquettes,enfant,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",claquettes enfant,"{'claquettes', 'enfant'}"
B0BLVS6PS8,"lampe frontale - LED, Rechargeable USB",candidate,FALSE,3,all,0,120,"lampe,frontale,led,rechargeable,usb,genericbrand,sports,loisirs,accessoires,éclairage,camping","BRESIL, ISLANDE, MAROC, STATES, THAILANDE",lampe frontale led rechargeable usb,"{'frontale', 'lampe', 'usb', 'led', 'rechargeable'}"
B0BRV61DPY,Mini ventilateur portatif,candidate,FALSE,3,all,0,120,"mini,ventilateur,portatif,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",mini ventilateur portatif,"{'portatif', 'mini', 'ventilateur'}"
B0BTHB8GWJ,Thermomètre digital,candidate,FALSE,3,all,0,120,"thermomètre,digital,genericbrand,sports,loisirs,accessoires",MAROC,thermometre digital,"{'digital', 'thermometre'}"
B0C1JT8RQS,"sac a dos Waterproof bas de gamme - Résistant à l'eau, Léger",candidate,FALSE,3,all,0,120,"sac,dos,waterproof,résistant,eau,léger,outdoorpro,bagages,sacs,randonnée,étanche,imperméable",ISLANDE,sac a dos waterproof bas de gamme resistant a l eau leger,"{'bas', 'gamme', 'a', 'resistant', 'leger', 'waterproof', 'sac', 'l', 'eau', 'dos', 'de'}"
B0C7QV2M6D,brumisateur,candidate,FALSE,3,all,0,120,"brumisateur,genericbrand,sports,loisirs,accessoires","MAROC, THAILANDE",brumisateur,{'brumisateur'}
B0CB4CM4BV,Chaussure rando enfant mixte,candidate,FALSE,3,mixte,0,120,"chaussure,rando,enfant,mixte,genericbrand,chaussures,sacs,sport","BRESIL, MAROC, STATES, THAILANDE",chaussure rando enfant mixte,"{'rando', 'chaussure', 'enfant', 'mixte'}"
B0CB9DJJVW,Claquettes mixte,candidate,FALSE,3,mixte,0,120,"claquettes,mixte,genericbrand,sports,loisirs,accessoires","BRESIL, MAROC, STATES, THAILANDE",claquettes mixte,"{'claquettes', 'mixte'}"
B0CG5RFS3Z,Sous vêtements Thermiques hommes,candidate,FALSE,3,homme,0,120,"sous,vêtements,thermiques,hommes,thermotech,sport,outdoor,thermique,isolation",ISLANDE,sous vetements thermiques hommes,"{'hommes', 'thermiques', 'vetements', 'sous'}"
B0CJ91TWD8,Sous vêtements thermiques femme,candidate,FALSE,3,homme,0,120,"sous,vêtements,thermiques,femme,thermotech,sport,outdoor,thermique,isolation",ISLANDE,sous vetements thermiques femme,"{'femme', 'thermiques', 'vetements', 'sous'}"
B0CKJDBZYR,"chaussures randonnée prix 3 - Antidérapantes, Respirantes homme",candidate,FALSE,3,homme,0,120,"chaussures,randonnée,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor","BRESIL, MAROC, STATES, THAILANDE",chaussures randonnee prix 3 antiderapantes respirantes homme,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', '3', 'randonnee', 'homme'}"
B0CLD22MTY,"Crampons pour chaussures - Antidérapantes, Respirantes",candidate,FALSE,3,all,0,120,"crampons,chaussures,antidérapantes,respirantes,genericbrand,sacs,sport",ISLANDE,crampons pour chaussures antiderapantes respirantes,"{'chaussures', 'respirantes', 'antiderapantes', 'pour', 'crampons'}"
B0CLJFPWB6,"Chaussures de randonnée craponnables prix 2 - Antidérapantes, Respirantes",candidate,FALSE,3,all,0,120,"chaussures,randonnée,craponnables,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor",ISLANDE,chaussures de randonnee craponnables prix 2 antiderapantes respirantes,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', 'randonnee', 'craponnables', '2', 'de'}"
B0CQYRTFGS,Lunettes de soleil UV400 mixte,candidate,FALSE,3,mixte,0,120,"lunettes,soleil,mixte,genericbrand,sports,loisirs,accessoires,uv400,protection-solaire","BRESIL, MAROC, STATES, THAILANDE",lunettes de soleil uv400 mixte,"{'lunettes', 'mixte', 'uv400', 'soleil', 'de'}"
B0CVKZ5BDR,"Sac a dos Waterproof moyenne gamme - Résistant à l'eau, Léger",candidate,FALSE,3,all,0,120,"sac,dos,waterproof,résistant,eau,léger,outdoorpro,bagages,sacs,randonnée,étanche,imperméable",ISLANDE,sac a dos waterproof moyenne gamme resistant a l eau leger,"{'gamme', 'moyenne', 'a', 'resistant', 'leger', 'waterproof', 'sac', 'l', 'eau', 'dos'}"
B0D3H82ZMT,Pantalons thermiques homme,candidate,FALSE,3,homme,0,120,"pantalons,thermiques,homme,thermotech,vêtements,sport,outdoor,thermique,isolation",ISLANDE,pantalons thermiques homme,"{'homme', 'thermiques', 'pantalons'}"
B0DCBTKN95,adaptateur prise européenne,candidate,FALSE,3,all,0,120,"adaptateur,prise,européenne,genericbrand,sports,loisirs,accessoires",ISLANDE,adaptateur prise europeenne,"{'prise', 'europeenne', 'adaptateur'}"
B0DCTLL6FN,"Chaussures de randonnée craponnables prix 3 - Antidérapantes, Respirantes",candidate,FALSE,3,all,0,120,"chaussures,randonnée,craponnables,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor",ISLANDE,chaussures de randonnee craponnables prix 3 antiderapantes respirantes,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', '3', 'randonnee', 'craponnables', 'de'}"
B0DHKHC1T7,Chaussettes en laine,candidate,FALSE,3,all,0,120,"chaussettes,laine,genericbrand,sports,loisirs,accessoires",ISLANDE,chaussettes en laine,"{'laine', 'en', 'chaussettes'}"
B0DK8DTY7H,Masque anti vents,candidate,FALSE,3,all,0,120,"masque,anti,vents,genericbrand,sports,loisirs,accessoires",ISLANDE,masque anti vents,"{'anti', 'vents', 'masque'}"
B0DNTPFND6,"chaussures randonnée prix 2 - Antidérapantes, Respirantes femme ",candidate,FALSE,3,femme,0,120,"chaussures,randonnée,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor","BRESIL, MAROC, STATES, THAILANDE",chaussures randonnee prix 2 antiderapantes respirantes femme,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', 'femme', 'randonnee', '2'}"
B0DPHJS7X4,"Lunettes de soleil mixtes - Protection UV400, Polarisées",candidate,FALSE,2,mixte,0,120,"lunettes,soleil,mixtes,protection,polarisées,genericbrand,sports,loisirs,accessoires,uv400,protection-solaire",ISLANDE,lunettes de soleil mixtes protection uv400 polarisees,"{'lunettes', 'mixtes', 'soleil', 'protection', 'uv400', 'de', 'polarisees'}"
B0DXC8MY81,Doudoune homme prix 2,candidate,FALSE,3,homme,0,120,"doudoune,homme,genericbrand,vêtements,sport,outdoor",ISLANDE,doudoune homme prix 2,"{'2', 'prix', 'homme', 'doudoune'}"
B0F13WP6KK,"chaussures randonnée prix 2 - Antidérapantes, Respirantes homme",candidate,FALSE,3,homme,0,120,"chaussures,randonnée,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor","BRESIL, MAROC, STATES, THAILANDE",chaussures randonnee prix 2 antiderapantes respirantes homme,"{'chaussures', 'prix', 'respirantes', 'antiderapantes', 'randonnee', '2', 'homme'}"
B0FBTGSTRW,Polaire femme,candidate,FALSE,3,homme,0,120,"polaire,femme,warmgear,vêtements,sport,outdoor,chaud",ISLANDE,polaire femme,"{'polaire', 'femme'}"
B0FHLPNQ73,Polaire homme,candidate,FALSE,3,homme,0,120,"polaire,homme,warmgear,vêtements,sport,outdoor,chaud",ISLANDE,polaire homme,"{'polaire', 'homme'}"
B0FL24GVRB,Pantalons thermiques femme,candidate,FALSE,3,homme,0,120,"pantalons,thermiques,femme,thermotech,vêtements,sport,outdoor,thermique,isolation",ISLANDE,pantalons thermiques femme,"{'femme', 'thermiques', 'pantalons'}"
NONE,Batterie externe,candidate,FALSE,3,all,0,120,"batterie,externe,genericbrand,sports,loisirs,accessoires",MAROC,batterie externe,"{'batterie', 'externe'}"
